[ 2018-02-01 12:08:11 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
[ 2018-02-01 14:39:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:39:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:22 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:40:52 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:54:59 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:55:49 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:14 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:14 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:14 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:14 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:14 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:14 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:58:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:59:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:59:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:59:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:59:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:59:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 14:59:57 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 15:31:46 ]  ||  Текст ошибки: Метод <b>app\controllers\CoreuiController::baseBreadcrumbAction()</b> не найден.  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 105
*** *** *** *** ***
[ 2018-02-01 16:17:26 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-01 16:18:06 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 08:22:01 ]  ||  Текст ошибки: Метод <b>app\controllers\CoreuiController::mainAction()</b> не найден.  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 105
*** *** *** *** ***
[ 2018-02-05 08:22:01 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 08:22:13 ]  ||  Текст ошибки: Метод <b>app\controllers\CoreuiController::mainAction()</b> не найден.  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 105
*** *** *** *** ***
[ 2018-02-05 11:44:28 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 11:45:13 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 11:45:15 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 11:45:15 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 11:46:01 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 11:46:04 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 16:20:25 ]  ||  Текст ошибки: Метод <b>app\controllers\BootstrapController::articlesAction()</b> не найден.  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 105
*** *** *** *** ***
[ 2018-02-05 16:24:32 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:27:45 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of Error given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(Error))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-05 16:30:53 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:31:20 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:32:25 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:32:53 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:32:56 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:33:51 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-05 16:38:16 ]  ||  Текст ошибки: Запрашиваемая вами страница не найдена  ||  Файл: /var/www/dev/asutp/vendor/framework/core/Router.php  ||  Строка: 114
*** *** *** *** ***
[ 2018-02-06 09:06:36 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of ArgumentCountError given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(ArgumentCountError))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-06 09:06:42 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of ArgumentCountError given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(ArgumentCountError))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-06 09:12:12 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of ArgumentCountError given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(ArgumentCountError))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
*** *** *** *** ***
[ 2018-02-06 09:12:17 ]  ||  Текст ошибки: Uncaught TypeError: Argument 1 passed to framework\core\ErrorHandler::exceptionHandler() must be an instance of Exception, instance of ArgumentCountError given in /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php:58
Stack trace:
#0 [internal function]: framework\core\ErrorHandler->exceptionHandler(Object(ArgumentCountError))
#1 {main}
  thrown  ||  Файл: /var/www/dev/asutp/vendor/framework/core/ErrorHandler.php  ||  Строка: 58
